sample,NPSS1,NPSS2,NPSS3,NPSS4,NPSS5,NPSS6,Genus
ASV143,0.00155727304187334,0.000346060675971854,0.00059599338639597,0.000922828469258277,0.00188410812473565,0.00169185219364017,g__unclassified
ASV144,0,0.000326835082862306,0.00074979813127235,0.000442188641519591,0,0.000653670165724613,g__Sphingomonas
ASV145,0,0.00128811473833968,0.000461414234629138,0.00126888914523013,0.000788249317491445,0.000499865420848233,g__unclassified
ASV146,0,0.000519091013957781,0.00124966355212058,0.00107663321413466,0.0136309455146691,0.00176875456607836,g__unclassified
ASV147,0.000288383896643211,0.000249932710424117,0.000346060675971854,0.000480639827738686,0.000230707117314569,0.000269158303533664,g__unclassified
ASV148,0.000461414234629138,0.000365286269081401,0.000442188641519591,0.000711346945053255,0.000307609489752759,9.61279655477372e-05,g__unclassified
ASV149,0,0.0019033337178452,0.00353750913215673,0.00221094320759795,0.000115353558657285,0,g__Sphingomonas
ASV150,0,0.000192255931095474,0.000480639827738686,0.00082670050371054,0.000807474910600992,0.00174952897296882,g__unclassified
ASV151,0.00074979813127235,0.000557542200176875,0.0014995962625447,0.00282616218710347,0.000903602876148729,0.000288383896643211,g__unclassified
ASV153,0.00182643134540701,0.000307609489752759,0.00161494982120198,0.00132656592455877,0.000538316607067328,0.000346060675971854,g__unclassified
ASV154,0.000788249317491445,0.00330680201484216,0.00697889029876572,0.0018648825316261,0.00082670050371054,0.000807474910600992,g__unclassified
ASV155,0.000173030337985927,0.00619064098127427,0.0029607413388703,0.000980505248586919,0.00192255931095474,0.00211481524205022,g__Nocardioides
ASV156,0.000480639827738686,0.00134579151766832,0.000365286269081401,0.00148037066943515,0.000519091013957781,0.000288383896643211,g__Vicinamibacter
ASV157,0.00215326642826931,0.00111508440035375,0.00311454608374668,0.000788249317491445,0.00180720575229746,0.00159572422809244,g__Gemmatimonas
ASV158,0,0.00609451301572653,0.000346060675971854,0.000115353558657285,0,0.00342215557349944,g__Massilia
ASV159,0.000961279655477371,0.000115353558657285,0.0018648825316261,0.000769023724381897,0,0,g__MND1
ASV160,0.000788249317491445,0.00553697081554966,0.000980505248586919,0.00240319913869343,0.00213404083515976,0.00286461337332257,g__Nocardioides
ASV161,0.000538316607067328,0.000980505248586919,0.00351828353904718,0.00182643134540701,0.000288383896643211,0.000134579151766832,g__Nitrospira
ASV162,0.00132656592455877,0.000249932710424117,0.00321067404929442,0.00067289575883416,0.00124966355212058,0.000884377283039182,g__Micromonospora
ASV163,0.000288383896643211,0.000384511862190949,0,0.000153804744876379,0.000865151689929634,0.00209558964894067,g__unclassified
ASV164,3.84511862190949e-05,0.000346060675971854,0.000192255931095474,0.00128811473833968,0,0,g__unclassified
ASV165,0,0.000288383896643211,0.00138424270388741,0.000365286269081401,0.000192255931095474,0.00267235744222709,g__Sphingoaurantiacus
ASV166,0.00111508440035375,0.000961279655477371,0.00138424270388741,0.00173030337985927,0.000480639827738686,0.000230707117314569,g__Haliangium
ASV167,0.000307609489752759,0.000192255931095474,0.000692121351943707,0.000461414234629138,0,0,g__unclassified
ASV168,0,0,0,7.69023724381897e-05,0,0,g__unclassified
ASV169,0.000634444572615065,0.000692121351943707,0.00203791286961203,0.00067289575883416,0,0.00130734033144923,g__Altererythrobacter
ASV170,0.000307609489752759,0.000442188641519591,0.000865151689929634,0.00280693659399392,3.84511862190949e-05,0.000903602876148729,g__unclassified
